"422","5","r","その気になる","そのきになる"
"423","5","t","そびえ立つ","そびえたつ"
"424","1",,"そびれる",
"425","5","r","そぼ降る","そぼふる"
"426","5","s","そやす",
"427","5","u","そらで歌う","そらでうたう"
"428","1",,"そらで覚える","そらでおぼえる"
"429","5","u","そらで言う","そらでいう"
"430","5","m","そらで読む","そらでよむ"
"431","1",,"そり上げる","そりあげる"
"432","5","r","たがる",
"433","1",,"たくし上げる","たくしあげる"
"434","5","r","たくる",
"435","5","u","たけり狂う","たけりくるう"
"436","5","t","たけり立つ","たけりたつ"
"437","5","g","たじろぐ",
"438","5","s","たたき壊す","たたきこわす"
"439","5","s","たたき起こす","たたきおこす"
"440","5","m","たたき込む","たたきこむ"
"441","5","s","たたき出す","たたきだす"
"442","5","r","たたき切る","たたききる"
"443","5","m","たたらを踏む","たたらをふむ"
"444","5","k","たどり着く","たどりつく"
"445","5","k","たな引く","たなびく"
"446","5","m","ため込む","ためこむ"
"447","5","k","ため息をつく","ためいきをつく"
"448","5","k","ため息を吐く","ためいきをつく"
"449","1",,"たらしめる",
"450","5","m","たらし込む","たらしこむ"
"451","5","m","たれ込む","たれこむ"
"452","1",,"たれ込める","たれこめる"
"453","5","k","だぶつく",
"454","5","r","だまし取る","だましとる"
"455","1",,"だらける",
"456","1",,"だれる",
"457","5","m","ちくちく痛む","ちくちくいたむ"
"458","5","r","ちくる",
"459","5","r","ちびる",
"460","5","u","ちまう",
"461","5","u","ちゃう",
"462","5","u","ちゅうちゅう吸う","ちゅうちゅうすう"
"463","5","k","ちゅうちゅう鳴く","ちゅうちゅうなく"
"464","5","r","ちょくる",
"465","5","r","ちょける",
"466","5","s","ちょろまかす",
"467","5","r","ちょんになる",
"468","5","r","ちょん切る","ちょんぎる"
"469","1",,"ちらっと見る","ちらっとみる"
"470","5","k","ちらつく",
"471","5","r","ちんちん鳴る","ちんちんなる"
"472","5","r","ついて回る","ついてまわる"
"473","5","k-s","ついて行く","ついていく"
"474","5","k-s","ついて行く","ついてゆく"
"475","5","r","つかみ取る","つかみとる"
"476","5","r","つきが回る","つきがまわる"
"477","5","u","つき合う","つきあう"
"478","5","s","つき刺す","つきさす"
"479","5","u","つき従う","つきしたがう"
"480","5","s","つき出す","つきだす"
"481","5","m","つぎ込む","つぎこむ"
"482","5","s","つくり直す","つくりなおす"
"483","1",,"つけ加える","つけくわえる"
"484","5","m","つけ込む","つけこむ"
"485","5","r","つけ入る","つけいる"
"486","5","s","つつき回す","つつきまわす"
"487","1",,"つなぎ合わせる","つなぎあわせる"
"488","1",,"つなぎ止める","つなぎとめる"
"489","5","k","つぶしが利く","つぶしがきく"
"490","1",,"つまみ上げる","つまみあげる"
"491","5","t","つま先立つ","つまさきだつ"
"492","1",,"つみ重ねる","つみかさねる"
"493","5","m","つめ込む","つめこむ"
"494","5","r-i","つもりである",
"495","5","u","つらい目にあう","つらいめにあう"
"496","1",,"つり下げる","つりさげる"
"497","1",,"つり上げる","つりあげる"
"498","1",,"つるし上げる","つるしあげる"
"499","5","r","つれ帰る","つれかえる"
